,Human Universal Affordance,Funtional Name,Objects,Counts,Reference 1,Reference 2,Reference 3,Cultures (From References),Dollar Street topic,image id
20,Practicing hygiene,eliminating human waste (baby),towel,5,"Ainsworth, M. D. (Salter). (1967). Infancy in Uganda: infant care and the growth of love. Johns Hopkins Press.(p 38) https://ehrafworldcultures.yale.edu/document?id=fk07-018",,,Africa-Uganda,diapers (or baby-pants),assets/5d4beabdcf0b3a0f3f34aff2/5d4beabdcf0b3a0f3f34aff2.jpg
21,Practicing hygiene,eliminating human waste (baby),diaper,57,"Ainsworth, M. D. (Salter). (1967). Infancy in Uganda: infant care and the growth of love. Johns Hopkins Press. https://ehrafworldcultures.yale.edu/document?id=fk07-018",,,Africa-Uganda,diapers (or baby-pants),assets/5d4bee8dcf0b3a0f3f3519a4/5d4bee8dcf0b3a0f3f3519a4.jpg
22,Practicing hygiene,cleaning teeth,toothbrush,684,"Segrave, K. (2010). America brushes up: the use and marketing of toothpaste and toothbrushes in the twentieth century. McFarland.","Kaufman, Howard Keva. 1960. “Bangkhuad: A Community Study in Thailand.” In Monographs, 10, 235 , plates. Locust Valley, N.Y.: Published for the Association for Asian Studies by. https://ehrafworldcultures.yale.edu/document?id=ao07-012.",,"Asia-Thaland, America-US",toothbrush,assets/5fd039caf2d9500e4358e7ee/2e20a5536b4f86885fb659c813023a06/previews/1024_01.jpg
23,Practicing hygiene,cleaning teeth,twig,4,"Messing, Simon D. (Simon David), and M. Lionel (Marvin Lionel) Bender. 1985. “Highland Plateau Amhara of Ethiopia.” In Ethnography Series, 3 v. (xvii, 502 leaves). New Haven, Conn.: Human Relations Area Files. https://ehrafworldcultures.yale.edu/document?id=mp05-020.",,,Africa-Ethiopia,toothbrush,assets/5d4bdf2bcf0b3a0f3f3373c3/5d4bdf2bcf0b3a0f3f3373c3.JPG
24,Practicing hygiene,cleaning teeth,electric toothbrush,7,"Yaacob, M., Worthington, H. V., Deacon, S. A., Deery, C., Walmsley, A. D., Robinson, P. G., & Glenny, A. M. (2014). Powered versus manual toothbrushing for oral health. Cochrane Database of Systematic Reviews, (6).",,,America-US,toothbrush,assets/5fd0493df2d9500e43594c5f/f81253612c1940063f4b73d5febe4737/previews/1024_01.jpg
25,Practicing hygiene,cleaning teeth,miswak,5,"Haque, M. M., & Alsareii, S. A. (2015). A review of the therapeutic effects of using miswak (Salvadora Persica) on oral health. Saudi medical journal, 36(5), 530.","Aboul-Enein, B. H. (2014). The miswak (Salvadora persica L.) chewing stick: Cultural implications in oral health promotion. The Saudi Journal for Dental Research, 5(1), 9-13.",,Asia-Saudi Arabia,toothbrush,assets/5ec4f822f0611d7ddd740c2f/5ec4f822f0611d7ddd740c2f.jpg
26,Practicing hygiene,cleaning teeth,finger,6,"Taylor, R. B. (1979). Teotilan del Valle: a typical Mesoamerican community. University Microfilms. https://ehrafworldcultures.yale.edu/document?id=nu44-011","Leca, N., and Dorothy Crawford. 1935. “The Fishermen of Guer N’Dar with a Note on the Wolof, Their Speech and Secret Languages by Henri Labouret.” Publications Du Comité d’études Historiques et Scientifiques de l’Afrique Occidentale Française, no. 2, HRAF MS: iii, 82 [Original: 110 ] plate. https://ehrafworldcultures.yale.edu/document?id=ms30-007.",,"America-Mexico, Africa-Senegal",toothbrush,assets/5d4be749cf0b3a0f3f3452b8/5d4be749cf0b3a0f3f3452b8.jpg
27,Practicing hygiene,cleaning teeth,clay/brick powder,1,"Ramanathan, J. R., & Machado, J. T. (1964). Village survey report on Thadagam. In Census of India 1961: Vol. Vol. 9 (pp. x, 154). Manager of Publications. https://ehrafworldcultures.yale.edu/document?id=aw16-026",,,Asia-India,toothbrush,assets/5fd03c4df2d9500e4358f8e9/d55b941943135899f5d0c465716c33ee/previews/1024_01.jpg
28,Practicing hygiene,cleaning teeth,toothpaste,228,"Segrave, K. (2010). America brushes up: the use and marketing of toothpaste and toothbrushes in the twentieth century. McFarland.",,,America-US,tooth paste,assets/5d4be700cf0b3a0f3f344b4a/5d4be700cf0b3a0f3f344b4a.jpg
29,Practicing hygiene,cleaning teeth,salt,2,"Hockings, Paul. 1980. Sex and Disease in a Mountain Community. Sahibabad, Distt. Ghaziabad: Vikas Publishing Pvt Ltd. https://ehrafworldcultures.yale.edu/document?id=aw50-004.",,,Asia-India,tooth paste,assets/5d4be749cf0b3a0f3f3452ba/5d4be749cf0b3a0f3f3452ba.jpg
30,Practicing hygiene,cleaning teeth,mouthwash,5,"Pearson, L. E. (1957). Elizabethans at home. Stanford University Press. https://ehrafworldcultures.yale.edu/document?id=es14-010",,,Europe-Britain,tooth paste,assets/5fd04c66f2d9500e43595fba/53eb65d7108137c655430a2994aa3df9/previews/1024_01.jpg
31,Practicing hygiene,cleaning teeth,tooth powder,1,"Ramanathan, J. R., and J. Thomas Machado. 1964. “Village Survey Report on Thadagam.” In Census of India 1961, Vol. 9:x, 154. Delhi: Manager of Publications. https://ehrafworldcultures.yale.edu/document?id=aw16-026.","Routledge, W. Scoresby (William Scoresby), and Mrs. Routledge Scoresby. 1910. With a Prehistoric People, the Akikuyu of British East Africa: Being Some Account of the Method of Life and Mode of Thought Found Existent amongst a Nation on Its First Contact with European Civilisation. London: Edward Arnold. https://ehrafworldcultures.yale.edu/document?id=fl10-007.",,"Africa-Kenya, Asia-India",tooth paste,assets/5d4be796cf0b3a0f3f345b82/5d4be796cf0b3a0f3f345b82.jpg
32,Practicing hygiene,cleaning teeth,tooth soap,2,"Pearson, L. E. (1957). Elizabethans at home. Stanford University Press. https://ehrafworldcultures.yale.edu/document?id=es14-010",,,Europe-Britain,tooth paste,assets/5d4befe4cf0b3a0f3f35401a/5d4befe4cf0b3a0f3f35401a.jpg
33,Practicing hygiene,cleaning teeth,charcoal,4,"Hockings, Paul. 1980. Sex and Disease in a Mountain Community. Sahibabad, Distt. Ghaziabad: Vikas Publishing Pvt Ltd. https://ehrafworldcultures.yale.edu/document?id=aw50-004.",,,Asia-India,tooth paste,assets/5fd03d5bf2d9500e43590033/fa7c116f6138d3daf48524bc84443f80/previews/1024_01.jpg
34,Practicing hygiene,washing clothes,washing machine,169,"Usher, Peter J. 1965. Economic Basis and Resource Use of the Coppermine-Holman Region, N.W.T. Ottawa, Ont.: Northern Co-ordination and Research Centre, Dept. of Northern Affairs and National Resources. https://ehrafworldcultures.yale.edu/document?id=nd08-036.",,,America-Canada,washing clothes/cleaning,assets/5d4be0fdcf0b3a0f3f33a3eb/5d4be0fdcf0b3a0f3f33a3eb.JPG
35,Practicing hygiene,washing clothes,bucket,78,"Jack, T. (2013). Laundry routine and resource consumption in A ustralia. International Journal of Consumer Studies, 37(6), 666-674.",,,Oceania-Australia,washing clothes/cleaning,assets/5fd03555f2d9500e4358cc15/521a1ff2a1f6996e101bb527f4929dfd/previews/1024_01.jpg
36,Practicing hygiene,washing clothes,water pump,4,"Hanks, L. M. (Lucien M., & Hanks, J. R. (1950). Tribe under trust: a study of the Blackfoot Reserve of Alberta. University of Toronto Press. https://ehrafworldcultures.yale.edu/document?id=nf06-016",,,America-Canada,washing clothes/cleaning,assets/5d4be6fdcf0b3a0f3f344b02/5d4be6fdcf0b3a0f3f344b02.jpg
37,Practicing hygiene,washing clothes,bathtub,7,"Ayrout, H. H., & Wayment, H. (1945). The Fellaheen. R. Schindler. https://ehrafworldcultures.yale.edu/document?id=mr13-003","Acosta Johnson, C. (1980). Breast-feeding and social class mobility: the case of Mexican migrant mothers in Houston, Texas. In twice a minority : mexican american women (pp. 66–82). Mosby. https://ehrafworldcultures.yale.edu/document?id=n007-052",,"Africa-Egypt, America-US",washing clothes/cleaning,assets/5d4bf413cf0b3a0f3f35b066/5d4bf413cf0b3a0f3f35b066.jpg
38,Practicing hygiene,washing clothes,bowl,64,"Munroe, R. L. (1964). Ethnographic setting: the major socio-cultural forms of the Black Carib of Punta Gorda, British Honduras. In Couvade practices of the Black Carib: a psychological study (pp. 22–83). [Harvard University]. https://ehrafworldcultures.yale.edu/document?id=sa12-021",,,America-Honduras,washing clothes/cleaning,assets/5fd038e0f2d9500e4358e35c/b1ed9d46a04a91165402b9a45b73628b/previews/1024_01.jpg
39,Practicing hygiene,washing clothes,basin,17,"Dubisch, J. (1986). Culture enters through the kitchen: women, food, and social boundaries in rural Greece. In gender & power in rural greece (pp. 195–214). Princeton University Press. https://ehrafworldcultures.yale.edu/document?id=eh01-026",,,Europe-Greece,washing clothes/cleaning,assets/5d4bf02fcf0b3a0f3f35484a/5d4bf02fcf0b3a0f3f35484a.jpg
40,Practicing hygiene,washing clothes,water,7,"Hiebert, P. G. (1971). Konduru: structure and integration in a South Indian village. University of Minnesota Press. https://ehrafworldcultures.yale.edu/document?id=aw17-003",,,Asia-India,washing clothes/cleaning,assets/5ec4f809f0611d7ddd740b5c/5ec4f809f0611d7ddd740b5c.jpg
41,Practicing hygiene,washing clothes,sponge,24,"Pearson, L. E. (1957). Elizabethans at home. Stanford University Press. https://ehrafworldcultures.yale.edu/document?id=es14-010",,,Europe-Britain,washing clothes/cleaning,assets/5fd03b59f2d9500e4358f3bf/603672a9a257f77150f5d41f8fa0d840/previews/1024_01.jpg
42,Practicing hygiene,washing clothes,sink,18,"Acosta Johnson, C. (1980). Breast-feeding and social class mobility: the case of Mexican migrant mothers in Houston, Texas. In twice a minority : mexican american women (pp. 66–82). Mosby. https://ehrafworldcultures.yale.edu/document?id=n007-052",,,America-US,washing clothes/cleaning,assets/5fd038c0f2d9500e4358e25b/7906bcb64504170f306a6af67f1b503d/previews/1024_01.jpg
43,Practicing hygiene,washing clothes,river,3,"Maretzki, T. W., Maretzki, H., & Whiting, B. B. (1963). Taira: an Okinawan village. In six cultures?: studies of child rearing (pp. 1–13, 363–539). John Wiley and Sons, Inc. https://ehrafworldcultures.yale.edu/document?id=ac07-002","Ayrout, Henry Habib, and Hilary Wayment. 1945. The Fellaheen. Cairo: R. Schindler. https://ehrafworldcultures.yale.edu/document?id=mr13-003.",,"Asia-Japan, Africa-Egypt",washing clothes/cleaning,assets/5fd22876955d2f758665bc37/c0439c62f1934b4e0b3df6ce1dc5a804/previews/1024_01.jpg
44,Practicing hygiene,washing clothes,washboard,2,"Munroe, R. L. (1964). Ethnographic setting: the major socio-cultural forms of the Black Carib of Punta Gorda, British Honduras. In Couvade practices of the Black Carib: a psychological study (pp. 22–83). [Harvard University]. https://ehrafworldcultures.yale.edu/document?id=sa12-021","Koch, G., & Schütze, F. (1955). The South Seas -- yesterday and today: cultural change among the Tongans and an attempt to interpret this development. In Kulturgeschichtliche Forschungen (p. HRAF Ms.: 1, 518 leaves [Original: 1-331, 352-359 ]). A. Limbach. https://ehrafworldcultures.yale.edu/document?id=ou09-100",,"America-Honduras, Oceania-Tonga",washing clothes/cleaning,assets/5d4beaa0cf0b3a0f3f34ac84/5d4beaa0cf0b3a0f3f34ac84.jpg
45,Practicing hygiene,washing clothes,pot,5,"Messing, S. D. (Simon D., & Bender, M. L. (Marvin L. (1985). Highland plateau Amhara of Ethiopia. In Ethnography series (p. 3 v. (xvii, 502 leaves)). Human Relations Area Files. https://ehrafworldcultures.yale.edu/document?id=mp05-020",,,Africa-Ethiopia,washing clothes/cleaning,assets/5d4bdf0ccf0b3a0f3f33706b/5d4bdf0ccf0b3a0f3f33706b.JPG
46,Practicing hygiene,washing clothes,hose,4,"Barnett, W. K. (1971). An ethnographic description of Sanlei Ts’un, Taiwan, with emphasis on women’s roles: overcoming research problems caused by the presence of a great tradition. University Microfilms. https://ehrafworldcultures.yale.edu/document?id=ad05-004",,,Asia-Taiwan,washing clothes/cleaning,assets/5d4bf3facf0b3a0f3f35ae08/5d4bf3facf0b3a0f3f35ae08.jpg
47,Practicing hygiene,washing clothes,brush,1,"Wallis, W. D. (Wilson D., & Wallis, R. S. (1955). The Micmac Indians of eastern Canada. University of Minnesota Press. https://ehrafworldcultures.yale.edu/document?id=nj05-001",,,America-Canada,washing clothes/cleaning,assets/5d4bf279cf0b3a0f3f3584e4/5d4bf279cf0b3a0f3f3584e4.jpg
48,Practicing hygiene,washing clothes,rock,1,"Taylor, Robert Bartley. 1979. Teotilan Del Valle: A Typical Mesoamerican Community. Ann Arbor: University Microfilms. https://ehrafworldcultures.yale.edu/document?id=nu44-011.","Ritzenthaler, R. E. (1953). Chippewa preoccupation with health: change in a traditional attitude resulting from modern health problems. In Bulletin: Vol. Vol. 19 (Issue 4, pp. 175–257). [s.n.]. https://ehrafworldcultures.yale.edu/document?id=ng06-013",,"America-Mexico, America-US",washing clothes/cleaning,assets/5fd04dbcf2d9500e43596966/a3dc81d74a46c2899c5dae2b43e5f815/previews/1024_01.jpg
49,Practicing hygiene,washing clothes,barrel,1,"Boehm, C. (1984). Blood revenge: the anthropology of feuding in Montenegro and other tribal societies. University Press of Kansas. https://ehrafworldcultures.yale.edu/document?id=ef05-002",,,Europe-Montenegro,washing clothes/cleaning,assets/5d4bf18acf0b3a0f3f356af0/5d4bf18acf0b3a0f3f356af0.jpg
50,Practicing hygiene,washing clothes,bar soap,15,"Sekaquaptewa, H., & Udall, L. (1969). Me and mine: the life story of Helen Sekaquaptewa. University of Arizona Press. https://ehrafworldcultures.yale.edu/document?id=nt09-061",,,America-US,washing detergent,assets/5d4be30ecf0b3a0f3f33da87/5d4be30ecf0b3a0f3f33da87.jpg
51,Practicing hygiene,washing clothes,detergent,137,"Beaton, Arthur Charles. 1948. “The Fur.” Sudan Notes and Records Vol. 29:1–39. https://ehrafworldcultures.yale.edu/document?id=mq08-002.","Textor, Robert B., Cornell University. Southeast Asia Program, and Yale University. Southeast Asia Studies. 1973. “Roster of the Gods: An Ethnography of the Supernatural in a Thai Village.” In Ethnography Series, 3, 44, 911 leaves. New Haven, Conn.: Human Relations Area Files. https://ehrafworldcultures.yale.edu/document?id=ao07-011.",,"Africa-Sudan, Asia-Thailand",washing clothes/cleaning,assets/5d4be61ccf0b3a0f3f343131/5d4be61ccf0b3a0f3f343131.jpg
52,Practicing hygiene,washing clothes,laundry pod,3,"Day, R., Bradberry, S. M., Thomas, S. H., & Vale, J. A. (2019). Liquid laundry detergent capsules (PODS): a review of their composition and mechanisms of toxicity, and of the circumstances, routes, features, and management of exposure. Clinical toxicology, 57(11), 1053-1063.",,,General,washing detergent,assets/5d4bf37ccf0b3a0f3f35a1d0/5d4bf37ccf0b3a0f3f35a1d0.jpg
53,Practicing hygiene,drying clothes,clothesline,21,"Laughlin, William S. 1980. “Aleuts, Survivors of the Bering Land Bridge.” In Case Studies in Cultural Anthropology, vii, 151. New York: Holt, Rinehart, and Winston. https://ehrafworldcultures.yale.edu/document?id=na06-071.",,,America-US,washing clothes/cleaning,assets/5fd0308cf2d9500e4358abab/a94873523b4bf7cba63feceac9b1240d/previews/1024_01.jpg
54,Practicing hygiene,drying clothes,tree trunk,1,"Ainsworth, M. D. (Salter). (1967). Infancy in Uganda: infant care and the growth of love. Johns Hopkins Press. https://ehrafworldcultures.yale.edu/document?id=fk07-018",,,Africa-Uganda,drying,assets/5fd028e71f89a90d2a769a6b/4a8aba38c07c2761b6d45eaf670780e0/previews/1024_01.jpg
55,Practicing hygiene,drying clothes,dryer,30,"Usher, P. J. (1965). Economic basis and resource use of the Coppermine-Holman region, N.W.T. Northern Co-ordination and Research Centre, Dept. of Northern Affairs and National Resources. https://ehrafworldcultures.yale.edu/document?id=nd08-036",,,America-Canada,washing clothes/cleaning,assets/5d4be712cf0b3a0f3f344d84/5d4be712cf0b3a0f3f344d84.jpg
56,Practicing hygiene,hair grooming,brush,176,"McClintock, W. (1968). The old north trail: or, Life, legends and religion of the Blackfeet Indians. University of Nebraska Press. https://ehrafworldcultures.yale.edu/document?id=nf06-004",,,America-Canada,hair brush/comb,assets/5fd03965f2d9500e4358e539/248e01d9fc6bd32d51d4ec0f8d4ded82/previews/1024_01.jpg
57,Practicing hygiene,hair grooming,comb,248,"McClintock, W. (1968). The old north trail: or, Life, legends and religion of the Blackfeet Indians. University of Nebraska Press. https://ehrafworldcultures.yale.edu/document?id=nf06-004",,,America-Canada,hair brush/comb,assets/5d4be190cf0b3a0f3f33b413/5d4be190cf0b3a0f3f33b413.JPG
58,Practicing hygiene,hair grooming,wooden comb,6,"Basden, G. T., & Willis, J. R. (1966). Niger Ibos: a description of the primitive life, customs and animistic beliefs, etc., of the Ibo people of Nigeria. Cass. https://ehrafworldcultures.yale.edu/document?id=ff26-007",,,Africa-Nigeria,hair brush/comb,assets/5d4bf06dcf0b3a0f3f354e38/5d4bf06dcf0b3a0f3f354e38.jpg
59,Practicing hygiene,bathing,bathroom,59,"Hansen, H. H. (1961). The Kurdish woman’s life: field research in a Muslim society, Iraq. In Copenhagen Ethnographic Museum Record (Issue 7, pp. ix, 213 , 99 plates). Nationalmuseet. https://ehrafworldcultures.yale.edu/document?id=ma11-004",,,Asia-Iraq,bathroom privacy,assets/5d4be047cf0b3a0f3f338efc/5d4be047cf0b3a0f3f338efc.jpg
60,Practicing hygiene,bathing,sink,36,"Friedl, E. (1963). Vasilika: a village in modern Greece. In Case studies in cultural anthropology (pp. 18, 110). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=eh01-002","Dube, S. C. (Shyama C. (1955). Indian village. Cornell University Press. https://ehrafworldcultures.yale.edu/document?id=aw17-001",,"Europe-Greece, Asia-India",bathroom privacy,assets/5d4be718cf0b3a0f3f344e3a/5d4be718cf0b3a0f3f344e3a.jpg
61,Practicing hygiene,bathing,mirror,5,"Carcopino, J., Rowell, H. T., & Lorimer, E. O. (Emily O. (1940). Daily life in ancient Rome: the people and the city at the height of the empire. Yale University Press. https://ehrafworldcultures.yale.edu/document?id=ei09-001",,,Europe-Rome,bathroom privacy,assets/5d4bdfc7cf0b3a0f3f3382aa/5d4bdfc7cf0b3a0f3f3382aa.jpg
62,Practicing hygiene,bathing,enclosure,4,"Hutchinson, H. W. (1957). Village and plantation life in northeastern Brazil. University of Washington Press. https://ehrafworldcultures.yale.edu/document?id=so11-002",,,America-Brazil,bathroom privacy,assets/5d4bf37dcf0b3a0f3f35a1e2/5d4bf37dcf0b3a0f3f35a1e2.jpg
63,Practicing hygiene,bathing,outhouse,21,"Gabrilopoulos, Nick, Charles Mather, and Caesar Roland Apentiik. 2002. “Lineage Organisation of the Tallensi Compound: The Social Logic of Domestic Space.” Africa Vol. 72 (2): 221–44. https://ehrafworldcultures.yale.edu/document?id=fe11-014.",,,Africa-Ghana,bathroom privacy,assets/5d4bf2e8cf0b3a0f3f359230/5d4bf2e8cf0b3a0f3f359230.jpg
64,Practicing hygiene,bathing,bucket,11,"Hutchinson, H. W. (1957). Village and plantation life in northeastern Brazil. University of Washington Press. https://ehrafworldcultures.yale.edu/document?id=so11-002","Warren, Dennis M. 1975. The Techiman-Bono of Ghana: An Ethnography of an Akan Society. Dubuque, Iowa: Kendall/Hunt Pub. Co. https://ehrafworldcultures.yale.edu/document?id=fe12-054.",,"America-Brazil, Africa-Ghana",bathroom privacy,assets/5d4bf186cf0b3a0f3f356a8c/5d4bf186cf0b3a0f3f356a8c.jpg
